Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
Joey Graham,16,6.2,2.0,0.9,0.2,17.7,9.68,.630,.466,79,225,23,0
Danny Granger,17,8.9,2.4,2.1,2.0,18.8,1.50,.634,.585,80,225,22,0
Hakim Warrick,19,8.6,1.5,1.0,0.8,21.4,6.83,.596,.671,81,219,23,0
Julius Hodge,20,6.6,4.8,1.4,0.7,17.0,9.16,.555,.633,79,210,22,0
LaMarcus Aldridge,2,9.2,0.5,1.4,2.0,15.0,6.99,.589,.470,83,240,21,1
Adam Morrison,3,5.5,1.7,1.1,0.3,28.1,5.02,.605,.504,80,205,22,0
Tyrus Thomas,4,9.2,1.3,1.0,3.1,12.3,8.77,.627,.548,81,215,20,0
Shelden Williams,5,10.7,1.1,1.7,3.8,18.8,8.77,.629,.659,81,250,23,0
Brandon Roy,6,5.6,4.1,1.4,0.8,20.2,5.96,.606,.470,78,215,22,1
Randy Foye,7,5.8,3.0,1.4,0.6,20.5,9.23,.536,.313,76,210,23,0
Rudy Gay,8,6.4,2.1,1.8,1.6,15.2,6.57,.533,.340,81,220,20,0
Patrick O'Bryant,9,8.3,0.8,0.9,2.9,13.4,5.38,.579,.423,84,260,20,0
